run,generation,best_fitness,algorithm,instance
0,0,16266,EA,tai20_5_0.fsp
0,1,15802,EA,tai20_5_0.fsp
0,2,15802,EA,tai20_5_0.fsp
0,3,15549,EA,tai20_5_0.fsp
0,4,15549,EA,tai20_5_0.fsp
0,5,15375,EA,tai20_5_0.fsp
0,6,15307,EA,tai20_5_0.fsp
0,7,15307,EA,tai20_5_0.fsp
0,8,15185,EA,tai20_5_0.fsp
0,9,15185,EA,tai20_5_0.fsp
0,10,15141,EA,tai20_5_0.fsp
0,11,15141,EA,tai20_5_0.fsp
0,12,15141,EA,tai20_5_0.fsp
0,13,15141,EA,tai20_5_0.fsp
0,14,15124,EA,tai20_5_0.fsp
0,15,15117,EA,tai20_5_0.fsp
0,16,15117,EA,tai20_5_0.fsp
0,17,15117,EA,tai20_5_0.fsp
0,18,15077,EA,tai20_5_0.fsp
0,19,15059,EA,tai20_5_0.fsp
0,20,15059,EA,tai20_5_0.fsp
0,21,15059,EA,tai20_5_0.fsp
0,22,15059,EA,tai20_5_0.fsp
0,23,15036,EA,tai20_5_0.fsp
0,24,15000,EA,tai20_5_0.fsp
0,25,15000,EA,tai20_5_0.fsp
0,26,14928,EA,tai20_5_0.fsp
0,27,14928,EA,tai20_5_0.fsp
0,28,14891,EA,tai20_5_0.fsp
0,29,14891,EA,tai20_5_0.fsp
0,30,14891,EA,tai20_5_0.fsp
0,31,14891,EA,tai20_5_0.fsp
0,32,14826,EA,tai20_5_0.fsp
0,33,14826,EA,tai20_5_0.fsp
0,34,14826,EA,tai20_5_0.fsp
0,35,14769,EA,tai20_5_0.fsp
0,36,14769,EA,tai20_5_0.fsp
0,37,14769,EA,tai20_5_0.fsp
0,38,14678,EA,tai20_5_0.fsp
0,39,14678,EA,tai20_5_0.fsp
0,40,14678,EA,tai20_5_0.fsp
0,41,14674,EA,tai20_5_0.fsp
0,42,14437,EA,tai20_5_0.fsp
0,43,14388,EA,tai20_5_0.fsp
0,44,14388,EA,tai20_5_0.fsp
0,45,14388,EA,tai20_5_0.fsp
0,46,14388,EA,tai20_5_0.fsp
0,47,14388,EA,tai20_5_0.fsp
0,48,14388,EA,tai20_5_0.fsp
0,49,14388,EA,tai20_5_0.fsp
0,50,14388,EA,tai20_5_0.fsp
0,51,14319,EA,tai20_5_0.fsp
0,52,14319,EA,tai20_5_0.fsp
0,53,14319,EA,tai20_5_0.fsp
0,54,14319,EA,tai20_5_0.fsp
0,55,14319,EA,tai20_5_0.fsp
0,56,14319,EA,tai20_5_0.fsp
0,57,14319,EA,tai20_5_0.fsp
0,58,14319,EA,tai20_5_0.fsp
0,59,14319,EA,tai20_5_0.fsp
0,60,14319,EA,tai20_5_0.fsp
0,61,14319,EA,tai20_5_0.fsp
0,62,14296,EA,tai20_5_0.fsp
0,63,14296,EA,tai20_5_0.fsp
