algorithm,instance,best,worst,avg,std
Random,tai20_5_0.fsp,15508,21506,18468.5,878.273
Greedy,tai20_5_0.fsp,16384,16384,16384,0
EA,tai20_5_0.fsp,14128,14510,14303.4,136.365
SA,tai20_5_0.fsp,14076,14359,14178,78.9785
Random,tai20_10_0.fsp,22967,30384,26670,1027.99
Greedy,tai20_10_0.fsp,25691,25691,25691,0
EA,tai20_10_0.fsp,21135,22222,21752.6,341.124
SA,tai20_10_0.fsp,21207,21415,21289,66.1196
Random,tai20_20_0.fsp,35604,44223,39762.5,1158.72
Greedy,tai20_20_0.fsp,35670,35670,35670,0
EA,tai20_20_0.fsp,34065,35010,34441.1,243.994
SA,tai20_20_0.fsp,34018,34510,34303.9,167.18
Random,tai100_10_0.fsp,361434,428173,389851,8242.11
Greedy,tai100_10_0.fsp,378986,378986,378986,0
EA,tai100_10_0.fsp,336231,345030,340469,2843.31
SA,tai100_10_0.fsp,311375,316949,313954,1836.56
Random,tai100_20_0.fsp,439605,506603,468138,8231.93
Greedy,tai100_20_0.fsp,452264,452264,452264,0
EA,tai100_20_0.fsp,413040,419681,416540,2198.01
SA,tai100_20_0.fsp,384824,390485,387683,1730.2
Random,tai500_20_0.fsp,7941066,8544017,8.19008e+06,78403.4
Greedy,tai500_20_0.fsp,8521746,8521746,8521746,0
EA,tai500_20_0.fsp,7684472,7779498,7.72721e+06,32222.2
SA,tai500_20_0.fsp,7141628,7205432,7.1822e+06,17600.8
