parameter,value,best,worst,avg,std
pop_size,50,14286,14623,14485.4,109.991
pop_size,100,14129,14470,14316.4,115.87
pop_size,200,14172,14657,14447,144.866
px,0.5,14131,14816,14479.7,165.331
px,0.7,14148,14831,14398.2,177.1
px,0.9,14316,14660,14463.4,109.266
pm,0.05,14198,14586,14455.5,107.294
pm,0.1,14177,14731,14469.9,144.793
pm,0.2,14127,14584,14274.7,144.419
crossover,OX,14149,14616,14388,163.144
crossover,PMX,14284,15002,14565.6,172.776
mutation,Swap,14206,14597,14399.3,144.277
mutation,Reverse,14174,14952,14599.6,192.015
