parameter,value,best,worst,avg,std
pop_size,50,14332,14676,14527.1,109.964
pop_size,100,14196,14565,14372.8,139.054
pop_size,200,14194,14556,14418.2,100.989
px,0.5,14328,14639,14437.2,84.7724
px,0.7,14288,14696,14473.6,109.135
px,0.9,14163,14718,14518.1,147.655
pm,0.05,14442,14926,14656,157.433
pm,0.1,14230,14618,14441,134.778
pm,0.2,14187,14577,14419,129.764
crossover,OX,14115,14670,14387.8,167.327
crossover,PMX,14467,15449,14865,289.539
mutation,Swap,14249,14728,14513.1,161.358
mutation,Reverse,14367,15084,14588.4,182.752
